Community_Area_Num,Community_Area,Population_2010
1,Rogers Park,"54,991"
2,West Ridge,"71,942"
3,Uptown,"56,362"
4,Lincoln Square,"39,493"
5,North Center,"31,867"
6,Lake View,"94,368"
7,Lincoln Park,"64,116"
8,Near North Side,"80,484"
9,Edison Park,"11,187"
10,Norwood Park,"37,023"
11,Jefferson Park,"25,448"
12,Forest Glen,"18,508"
13,North Park,"17,931"
14,Albany Park,"51,542"
15,Portage Park,"64,124"
16,Irving Park,"53,359"
17,Dunning,"41,932"
18,Montclare,"13,426"
19,Belmont Cragin,"78,743"
20,Hermosa,"25,010"
21,Avondale,"39,262"
22,Logan Square,"73,595"
23,Humboldt Park,"56,323"
24,West Town,"81,432"
25,Austin,"98,514"
26,West Garfield Park,"18,001"
27,East Garfield Park,"20,567"
28,Near West Side,"54,881"
29,North Lawndale,"35,912"
30,South Lawndale,"79,288"
31,Lower West Side,"35,769"
32,Loop,"29,283"
33,Near South Side,"21,390"
34,Armour Square,"13,391"
35,Douglas,"18,238"
36,Oakland,"5,918"
37,Fuller Park,"2,876"
38,Grand Boulevard,"21,929"
39,Kenwood,"17,841"
40,Washington Park,"11,717"
41,Hyde Park,"25,681"
42,Woodlawn,"25,983"
43,South Shore,"49,767"
44,Chatham,"31,028"
45,Avalon Park,"10,185"
46,South Chicago,"31,198"
47,Burnside,"2,916"
48,Calumet Heights,"13,812"
49,Roseland,"44,619"
50,Pullman,"7,325"
51,South Deering,"15,109"
52,East Side,"23,042"
53,West Pullman,"29,651"
54,Riverdale,"6,482"
55,Hegewisch,"9,426"
56,Garfield Ridge,"34,513"
57,Archer Heights,"13,393"
58,Brighton Park,"45,368"
59,McKinley Park,"15,612"
60,Bridgeport,"31,977"
61,New City,"44,377"
62,West Elsdon,"18,109"
63,Gage Park,"39,894"
64,Clearing,"23,139"
65,West Lawn,"33,355"
66,Chicago Lawn,"55,628"
67,West Englewood,"35,505"
68,Englewood,"30,654"
69,Greater Grand Crossing,"32,602"
70,Ashburn,"41,081"
71,Auburn Gresham,"48,743"
72,Beverly,"20,034"
73,Washington Heights,"26,493"
74,Mount Greenwood,"19,093"
75,Morgan Park,"22,544"
76,O'Hare,"12,756"
77,Edgewater,"56,521"
